Store,Dept,Date,Demand,Forecast_Demand,Safety_Stock,Target_Stock,Beginning_Inventory,Order_Qty,Arriving_Order,Fulfilled_Demand,Lost_Sales,Ending_Inventory,Holding_Cost,Stockout_Cost,Ordering_Cost,Total_Cost
1.0,1.0,2012-08-17,17330.7,15862.547553271746,1490.0608212315246,17352.60837450327,17352.60837450327,0.0,0.0,17330.7,0.0,21.908374503269442,21.908374503269442,0.0,0.0,21.908374503269442
1.0,1.0,2012-08-24,16286.4,16140.100800219525,1490.0608212315246,17630.16162145105,21.908374503269442,17608.25324694778,0.0,21.908374503269442,16264.49162549673,0.0,0.0,81322.45812748365,0.0,81322.45812748365
1.0,1.0,2012-08-31,16680.24,16633.578357409428,1490.0608212315246,18123.63917864095,17608.25324694778,515.3859316931703,17608.25324694778,16680.24,0.0,928.0132469477794,928.0132469477794,0.0,0.0,928.0132469477794
1.0,1.0,2012-09-07,18322.37,18050.58758826058,1490.0608212315246,19540.648409492103,1443.3991786409497,18097.249230851154,515.3859316931703,1443.3991786409497,16878.97082135905,0.0,0.0,84394.85410679525,0.0,84394.85410679525
1.0,1.0,2012-09-14,19616.22,19423.388942013647,1490.0608212315246,20913.44976324517,18097.249230851154,2816.2005323940175,18097.249230851154,18097.249230851154,1518.9707691488475,0.0,0.0,7594.853845744237,0.0,7594.853845744237
1.0,1.0,2012-09-21,19251.5,19077.72186594577,1490.0608212315246,20567.782687177292,2816.2005323940175,17751.582154783275,2816.2005323940175,2816.2005323940175,16435.299467605982,0.0,0.0,82176.4973380299,0.0,82176.4973380299
1.0,1.0,2012-09-28,18947.81,19514.93532806687,1490.0608212315246,21004.996149298393,17751.582154783275,3253.4139945151182,17751.582154783275,17751.582154783275,1196.2278452167266,0.0,0.0,5981.139226083633,0.0,5981.139226083633
1.0,1.0,2012-10-05,21904.47,21909.085520034336,1490.0608212315246,23399.14634126586,3253.4139945151182,20145.73234675074,3253.4139945151182,3253.4139945151182,18651.056005484883,0.0,0.0,93255.28002742442,0.0,93255.28002742442
1.0,1.0,2012-10-12,22764.01,23668.348757867803,1490.0608212315246,25158.409579099327,20145.73234675074,5012.677232348586,20145.73234675074,20145.73234675074,2618.277653249257,0.0,0.0,13091.388266246286,0.0,13091.388266246286
1.0,1.0,2012-10-19,24185.27,24427.813884049327,1490.0608212315246,25917.87470528085,5012.677232348586,20905.197472932265,5012.677232348586,5012.677232348586,19172.592767651415,0.0,0.0,95862.96383825707,0.0,95862.96383825707
1.0,1.0,2012-10-26,27390.81,29611.691561742828,1490.0608212315246,31101.75238297435,20905.197472932265,10196.554910042087,20905.197472932265,20905.197472932265,6485.612527067737,0.0,0.0,32428.062635338683,0.0,32428.062635338683
1.0,2.0,2012-08-17,46350.97,46343.808207187605,2751.2091269670304,49095.01733415463,49095.01733415463,0.0,0.0,46350.97,0.0,2744.0473341546312,2744.0473341546312,0.0,0.0,2744.0473341546312
1.0,2.0,2012-08-24,44972.52,47959.97335078694,2751.2091269670304,50711.182477753966,2744.0473341546312,47967.135143599335,0.0,2744.0473341546312,42228.472665845366,0.0,0.0,211142.36332922682,0.0,211142.36332922682
1.0,2.0,2012-08-31,50995.5,49055.64184185608,2751.2091269670304,51806.850968823106,47967.135143599335,3839.7158252237714,47967.135143599335,47967.135143599335,3028.3648564006653,0.0,0.0,15141.824282003327,0.0,15141.824282003327
1.0,2.0,2012-09-07,47344.5,45296.0896579545,2751.2091269670304,48047.29878492153,3839.7158252237714,44207.58295969776,3839.7158252237714,3839.7158252237714,43504.78417477623,0.0,0.0,217523.92087388114,0.0,217523.92087388114
