Store,Dept,Total_Demand,Fulfilled_Demand,Lost_Sales,Average_Inventory,Holding_Cost,Stockout_Cost,Total_Cost,Fill_Rate
2.0,92.0,1922568.91,1069818.8477346057,852750.0622653943,2534.5144761813017,27879.659237994318,4263750.311326971,4291629.970564965,0.5564527971767762
4.0,92.0,1906726.28,1067541.8734647378,839184.4065352622,3940.712248135223,43347.834729487455,4195922.032676311,4239269.867405798,0.5598820788607045
20.0,92.0,1902098.65,1086602.8834335566,815495.7665664433,2861.5221626805405,31476.743789485947,4077478.8328322163,4108955.576621702,0.5712652618903634
13.0,92.0,1958975.87,1147759.2708287598,811216.5991712403,1956.7171857336361,21523.889043069998,4056082.9958562017,4077606.8848992717,0.5858976051750753
4.0,95.0,1745114.77,995885.3696879648,749229.4003120352,3351.2877309719015,36864.16504069092,3746147.0015601763,3783011.166600867,0.570670414810577
20.0,95.0,1660674.82,944880.7713385393,715794.0486614606,1897.912622855463,20877.038851410092,3578970.243307303,3599847.2821587133,0.568973985731017
2.0,95.0,1623322.3599999999,936163.4686196324,687158.8913803676,2956.742319950461,32524.16551945507,3435794.456901838,3468318.622421293,0.5766959734477091
1.0,92.0,1575845.1400000001,899807.445627748,676037.694372252,1953.9598508292138,21493.55835912135,3380188.47186126,3401682.030220381,0.5709999179410155
13.0,95.0,1575264.72,917899.5790623173,657365.1409376827,3676.925590574555,40446.1814963201,3286825.7046884135,3327271.886184734,0.5826954463008079
14.0,92.0,1701075.64,1067846.3429157776,633229.2970842223,12214.430950440843,134358.74045484926,3166146.485421112,3300505.225875961,0.6277477131562342
31.0,92.0,1455654.39,815404.2362545757,640250.1537454244,2771.5168630457747,30486.685493503523,3201250.768727122,3231737.4542206256,0.560163347739827
41.0,92.0,1454507.75,814342.8966143499,640164.85338565,1822.2819034092033,20045.100937501236,3200824.26692825,3220869.3678657515,0.5598752544387268
27.0,92.0,1583380.58,949539.7191711597,633840.8608288404,4411.522321419573,48526.74553561531,3169204.304144202,3217731.049679817,0.5996914015272056
24.0,92.0,1428946.67,818018.9127017073,610927.7572982926,4368.394464377544,48052.339108152984,3054638.786491463,3102691.125599616,0.5724628706414266
